deck1,deck2,wins,losses,ties,total,win_rate
ho-oh-armarouge,gholdengo-ex,76,106,10,192,41.3
gholdengo-ex,joltik-box,171,178,19,368,48.2
joltik-box,gholdengo-ex,178,171,19,368,50.1
gholdengo-ex,raging-bolt-ogerpon,279,262,29,570,50.6
raging-bolt-ogerpon,gholdengo-ex,262,279,29,570,47.7
grimmsnarl-froslass,grimmsnarl-froslass,339,339,19,697,49.5
grimmsnarl-froslass,grimmsnarl-froslass,339,339,19,697,49.5
grimmsnarl-froslass,ho-oh-armarouge,99,60,5,164,61.4
ho-oh-armarouge,grimmsnarl-froslass,60,99,5,164,37.6
grimmsnarl-froslass,joltik-box,114,149,26,289,42.4
joltik-box,grimmsnarl-froslass,149,114,26,289,54.6
grimmsnarl-froslass,raging-bolt-ogerpon,218,231,20,469,47.9
raging-bolt-ogerpon,grimmsnarl-froslass,231,218,20,469,50.7
ho-oh-armarouge,ho-oh-armarouge,17,17,1,35,49.5
ho-oh-armarouge,ho-oh-armarouge,17,17,1,35,49.5
ho-oh-armarouge,joltik-box,31,27,3,61,52.5
joltik-box,ho-oh-armarouge,27,31,3,61,45.9
ho-oh-armarouge,raging-bolt-ogerpon,46,60,2,108,43.2
raging-bolt-ogerpon,ho-oh-armarouge,60,46,2,108,56.2
joltik-box,joltik-box,64,64,3,131,49.6
joltik-box,joltik-box,64,64,3,131,49.6
joltik-box,raging-bolt-ogerpon,91,99,16,206,46.8
raging-bolt-ogerpon,joltik-box,99,91,16,206,50.6
raging-bolt-ogerpon,raging-bolt-ogerpon,184,184,5,373,49.8
raging-bolt-ogerpon,raging-bolt-ogerpon,184,184,5,373,49.8
