deck,share
gholdengo-ex,11.5
grimmsnarl-froslass,11.4
dragapult-dusknoir,10.6
gardevoir-ex-sv,7.7
dragapult-ex,6.4
raging-bolt-ogerpon,6.2
ethan-typhlosion,5.6
charizard-pidgeot,5.3
dragapult-charizard,4.2
joltik-box,4.2
crustle-dri,3.5
flareon-noctowl,3.1
ho-oh-armarouge,1.6
charizard-dusknoir,1.3
froslass-munkidori,1.1
