deck,share
gholdengo-ex,22.9
dragapult-dusknoir,17.2
gardevoir-ex-sv,13.0
raging-bolt-ogerpon,10.1
grimmsnarl-froslass,4.9
flareon-noctowl,4.4
dragapult-ex,1
dragapult-charizard,1
ethan-typhlosion,1
charizard-pidgeot,1
joltik-box,1
crustle-dri,1
ho-oh-armarouge,1
charizard-dusknoir,1
