deck,share
gholdengo-ex,29.9
dragapult-dusknoir,16.5
raging-bolt-ogerpon,12.6
gardevoir-ex-sv,9.4
charizard-pidgeot,4.7
dragapult-ex,4.7
grimmsnarl-froslass,1
flareon-noctowl,1
dragapult-charizard,1
charizard-pidgeot,1
joltik-box,1
ho-oh-armarouge,1
charizard-dusknoir,1
zoroark-ex,1
blissey-ex,1
